Stand,Stand_Gemeindegrenzen,Gebietstyp_Code,Gebietstyp,Gebiet_Code,Gebiet_Bezeichnung,Total_Abschluss_gymnasial,Total_19_Jahre_alt,Maturitaetsquote_gymnasial
2025-11-27,2014,1,Kanton,1,Kanton Zürich,10001,55288,18.09
2025-11-27,2014,2,Bezirk,101,Bezirk Affoltern,488,2310,21.12
2025-11-27,2014,2,Bezirk,102,Bezirk Andelfingen,178,1456,12.22
2025-11-27,2014,2,Bezirk,103,Bezirk Bülach,705,5703,12.37
2025-11-27,2014,2,Bezirk,104,Bezirk Dielsdorf,376,3731,10.07
2025-11-27,2014,2,Bezirk,105,Bezirk Hinwil,637,4271,14.92
2025-11-27,2014,2,Bezirk,106,Bezirk Horgen,976,4522,21.58
2025-11-27,2014,2,Bezirk,107,Bezirk Meilen,1288,3831,33.62
2025-11-27,2014,2,Bezirk,108,Bezirk Pfäffikon,369,2548,14.48
2025-11-27,2014,2,Bezirk,109,Bezirk Uster,858,5132,16.72
2025-11-27,2014,2,Bezirk,110,Bezirk Winterthur,1258,6768,18.58
2025-11-27,2014,2,Bezirk,111,Bezirk Dietikon,445,3523,12.63
2025-11-27,2014,2,Bezirk,112,Bezirk Zürich,2423,11493,21.08
2025-11-27,2014,3,Gemeinde,1,Aeugst am Albis,25,85,29.41
2025-11-27,2014,3,Gemeinde,2,Affoltern am Albis,77,576,13.37
2025-11-27,2014,3,Gemeinde,3,Bonstetten,74,230,32.17
2025-11-27,2014,3,Gemeinde,4,Hausen am Albis,29,155,18.71
2025-11-27,2014,3,Gemeinde,5,Hedingen,54,206,26.21
2025-11-27,2014,3,Gemeinde,6,Kappel am Albis,NULL,35,NULL
2025-11-27,2014,3,Gemeinde,7,Knonau,8,105,7.62
2025-11-27,2014,3,Gemeinde,8,Maschwanden,NULL,33,NULL
2025-11-27,2014,3,Gemeinde,9,Mettmenstetten,36,206,17.48
2025-11-27,2014,3,Gemeinde,10,Obfelden,39,228,17.11
2025-11-27,2014,3,Gemeinde,11,Ottenbach,28,124,22.58
2025-11-27,2014,3,Gemeinde,12,Rifferswil,NULL,43,NULL
2025-11-27,2014,3,Gemeinde,13,Stallikon,40,124,32.26
2025-11-27,2014,3,Gemeinde,14,Wettswil am Albis,65,160,40.63
2025-11-27,2014,3,Gemeinde,21,Adlikon,NULL,20,NULL
2025-11-27,2014,3,Gemeinde,22,Benken (ZH),NULL,34,NULL
2025-11-27,2014,3,Gemeinde,23,Berg am Irchel,NULL,29,NULL
2025-11-27,2014,3,Gemeinde,24,Buch am Irchel,7,52,13.47
2025-11-27,2014,3,Gemeinde,25,Dachsen,19,112,16.97
2025-11-27,2014,3,Gemeinde,26,Dorf,NULL,46,NULL
2025-11-27,2014,3,Gemeinde,27,Feuerthalen,2,148,1.35
2025-11-27,2014,3,Gemeinde,28,Flaach,9,76,11.84
2025-11-27,2014,3,Gemeinde,29,Flurlingen,7,67,10.45
2025-11-27,2014,3,Gemeinde,30,Andelfingen,15,88,17.05
